State,# of Bottled Still Wines,# of Bottled Effervescence Wines,Month,Year 
Oregon,196881,34414,October,2019
Oregon,1347860,9699,September,2019
Pennsylvania,4763021,214,April,2019
Pennsylvania,871861,0,August,2019
Pennsylvania,1792561,421,February,2019
Pennsylvania,2009171,2545,January,2019
Pennsylvania,2014373,1187,July,2019
Pennsylvania,1126074,0,June,2019
Pennsylvania,1863716,2319,March,2019
Pennsylvania,1175034,0,May,2019
Pennsylvania,1601026,1234,November,2019
Pennsylvania,2098546,1695,October,2019
Pennsylvania,1880044,2016,September,2019
Rhode Island,380,0,February,2019
Rhode Island,120,0,January,2019
Rhode Island,17200,0,June,2019
Rhode Island,25821,0,March,2019
Rhode Island,18698,0,September,2019
South Carolina,514,0,April,2019
South Carolina,0,0,August,2019
South Carolina,582,0,February,2019
South Carolina,630,0,January,2019
South Carolina,1213,0,July,2019
South Carolina,600,0,June,2019
South Carolina,1568,0,March,2019
South Carolina,0,0,May,2019
South Carolina,780,0,November,2019
South Carolina,604,0,October,2019
South Carolina,1932,0,September,2019
South Dakota,26281,0,June,2019
South Dakota,20281,211,March,2019
South Dakota,40292,0,September,2019
Tennessee,153449,303,April,2019
Tennessee,25784,0,August,2019
Tennessee,80298,56,February,2019
Tennessee,174939,264,January,2019
Tennessee,29552,267,July,2019
Tennessee,19969,0,June,2019
Tennessee,53207,503,March,2019
Tennessee,31254,0,May,2019
Tennessee,21796,160,November,2019
Tennessee,31104,0,October,2019
Tennessee,41101,513,September,2019
Texas,536641,0,April,2019
Texas,143015,0,August,2019
Texas,496217,968,February,2019
Texas,418815,1922,January,2019
Texas,521672,210,July,2019
Texas,165292,0,June,2019
Texas,694777,1207,March,2019
Texas,103015,0,May,2019
Texas,348258,0,November,2019
Texas,339965,0,October,2019
Texas,577500,863,September,2019
Utah,632,0,June,2019
Utah,5387,0,March,2019
Utah,2515,0,September,2019
Vermont,294002,0,April,2019
Vermont,176893,0,August,2019
Vermont,299825,0,February,2019
Vermont,385832,0,January,2019
Vermont,343002,24386,July,2019
Vermont,201404,0,June,2019
Vermont,611129,11657,March,2019
Vermont,189775,0,May,2019
Vermont,282103,4698,November,2019
Vermont,370694,15501,October,2019
Vermont,313108,783,September,2019
Virginia,133502,2946,April,2019
Virginia,64707,0,August,2019
Virginia,115470,1541,February,2019
Virginia,97430,2448,January,2019
Virginia,169029,0,July,2019
Virginia,91558,0,June,2019
Virginia,294288,8397,March,2019
Virginia,58401,0,May,2019
Virginia,89244,0,November,2019
Virginia,104590,0,October,2019
Virginia,230370,6211,September,2019
Washington,2735897,96529,April,2019
Washington,179074,0,August,2019
Washington,1772977,53532,February,2019
Washington,2083122,40173,January,2019
Washington,3010062,123411,July,2019
Washington,351539,0,June,2019
Washington,2476978,111356,March,2019
Washington,262717,0,May,2019
Washington,1328164,50197,November,2019
Washington,1509712,40439,October,2019
Washington,2891706,85461,September,2019
West Virginia,789,0,April,2019
West Virginia,1100,0,August,2019
West Virginia,0,0,February,2019
West Virginia,0,0,January,2019
West Virginia,1118,0,July,2019
West Virginia,1930,0,June,2019
West Virginia,2226,403,March,2019
West Virginia,0,0,May,2019
West Virginia,1028,0,November,2019
West Virginia,1630,0,October,2019
West Virginia,5287,0,September,2019
Wisconsin,228878,0,April,2019
Wisconsin,106965,0,August,2019
Wisconsin,199437,4655,February,2019
Wisconsin,171676,453,January,2019
Wisconsin,268095,170,July,2019
Wisconsin,140506,0,June,2019
Wisconsin,353647,496,March,2019
Wisconsin,156990,0,May,2019
Wisconsin,132404,1063,November,2019
Wisconsin,257117,483,October,2019
Wisconsin,353154,227,September,2019
