GeoFips,GeoName,Year,Per Capita Personal Income
30000,Montana,1930,501
31000,Nebraska,1930,510
32000,Nevada,1930,834
33000,New Hampshire,1930,648
34000,New Jersey,1930,851
35000,New Mexico,1930,333
36000,New York,1930,1042
37000,North Carolina,1930,287
38000,North Dakota,1930,308
39000,Ohio,1930,664
40000,Oklahoma,1930,365
41000,Oregon,1930,605
42000,Pennsylvania,1930,717
44000,Rhode Island,1930,795
45000,South Carolina,1930,239
46000,South Dakota,1930,357
47000,Tennessee,1930,321
48000,Texas,1930,407
49000,Utah,1930,494
50000,Vermont,1930,572
51000,Virginia,1930,387
53000,Washington,1930,657
54000,West Virginia,1930,407
55000,Wisconsin,1930,585
56000,Wyoming,1930,582
91000,New England,1930,806
92000,Mideast,1930,890
93000,Great Lakes,1930,678
94000,Plains,1930,504
95000,Southeast,1930,310
96000,Southwest,1930,398
97000,Rocky Mountain,1930,532
98000,Far West,1930,812
0,United States,1931,528
1000,Alabama,1931,220
2000,Alaska,1931,
4000,Arizona,1931,430
5000,Arkansas,1931,207
6000,California,1931,753
8000,Colorado,1931,472
9000,Connecticut,1931,807
10000,Delaware,1931,776
11000,District of Columbia,1931,1253
12000,Florida,1931,397
13000,Georgia,1931,254
15000,Hawaii *,1931,
16000,Idaho,1931,366
17000,Illinois,1931,673
18000,Indiana,1931,435
19000,Iowa,1931,396
20000,Kansas,1931,394
21000,Kentucky,1931,287
22000,Louisiana,1931,315
23000,Maine,1931,492
24000,Maryland,1931,646
25000,Massachusetts,1931,766
26000,Michigan,1931,540
27000,Minnesota,1931,457
28000,Mississippi,1931,169
29000,Missouri,1931,489
30000,Montana,1931,387
31000,Nebraska,1931,409
32000,Nevada,1931,665
33000,New Hampshire,1931,560
34000,New Jersey,1931,741
35000,New Mexico,1931,287
36000,New York,1931,889
37000,North Carolina,1931,244
38000,North Dakota,1931,195
39000,Ohio,1931,563
40000,Oklahoma,1931,294
41000,Oregon,1931,504
42000,Pennsylvania,1931,605
44000,Rhode Island,1931,718
45000,South Carolina,1931,203
46000,South Dakota,1931,242
47000,Tennessee,1931,273
48000,Texas,1931,345
49000,Utah,1931,372
50000,Vermont,1931,471
51000,Virginia,1931,371
53000,Washington,1931,534
54000,West Virginia,1931,354
55000,Wisconsin,1931,469
56000,Wyoming,1931,477
91000,New England,1931,718
92000,Mideast,1931,765
93000,Great Lakes,1931,565
94000,Plains,1931,417
95000,Southeast,1931,271
96000,Southwest,1931,333
97000,Rocky Mountain,1931,420
98000,Far West,1931,683
0,United States,1932,402
1000,Alabama,1932,159
2000,Alaska,1932,
4000,Arizona,1932,322
